,Unnamed: 0,place_name,place_pic,place_rating,place_review_count,place_link,country,state,city,open_time,about,address,how_to,nearby_restaurant,nearby_attractions,review_Excellent,review_Very_good,review_Average,review_Poor,review_Terrible,start_time,end_time
17,17, The Art Institute of Chicago,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/3f/3c/7c/photo0jpg.jpg?w=500&h=-1&s=1,5.0,"24,454",https://www.tripadvisor.ca/Attraction_Review-g35805-d103239-Reviews-The_Art_Institute_of_Chicago-Chicago_Illinois.html,United States,Illinois (IL),Chicago,,"See why the Art Institute of Chicago is the only museum in the world to be top-ranked by TripAdvisor four years in a row! Experience the greatest Impressionist collection outside Paris, and view contemporary masterpieces in the spectacular Modern Wing. Stand before classics like Nighthawks, and travel the globe through galleries devoted to the art of ancient Greece, Japan, Africa, and the Americas.","111 S Michigan Ave, Chicago, IL 60603-6110","Adams/Wabash • 3 min walk,Monroe • 5 min walk","Cherry Circle Room,Acanto,The Gage","Chapelle Notre-Dame de Provence,Thorne Miniature Rooms,Chicago Skyline",20695,3193,422,93,56,-1,-1
18,18, Broadway,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/87/eb/86/photo3jpg.jpg?w=500&h=-1&s=1,4.5,"31,264",https://www.tripadvisor.ca/Attraction_Review-g60763-d143361-Reviews-Broadway-New_York_City_New_York.html,United States,New York (NY),New York City,,"Midtown Manhattan is home to one of the world's most famous theatre districts, with iconic musicals and well-loved plays staged live at over 40 theatres.","599 Broadway, New York City, NY 10012-3235","Times Square – 42nd St • 4 min walk,Times Square • 4 min walk","Los Tacos No. 1,Dos Caminos,Frisson Espresso","Memorial Sign to Victims of Political Repression,Monument to the Discoverers of the Kuril Islands,Sephora",22723,6453,1552,279,265,-1,-1
19,19, Grand Central Terminal,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/6a/d7/27/fb-img-1556736015619.jpg?w=500&h=-1&s=1,4.5,"44,656",https://www.tripadvisor.ca/Attraction_Review-g60763-d103371-Reviews-Grand_Central_Terminal-New_York_City_New_York.html,United States,New York (NY),New York City,5:30 AM - 2:00 AM,"Grand Central Terminal is the most extraordinary public space in New York City. Opened to the public in 1913, this historic train terminal is a world-famous landmark in Midtown. Its rich history is a story of immense wealth and great engineering. Grand Central is one of the busiest train stations in the world, with approximately 750,000 visitors every day. It is the home of Metro-North Railroad, a subway station, iconic restaurants, shops, and the world's most alluring Apple Store. Some of the highlights to see along your tour of Grand Central include the opal-faced clock, valued at $20 million, above the Information Booth, the Largest Tiffany Glass Clock in the World below the 48-foot, 1500-ton Transportation statue overlooking 42nd Street at Park Avenue, and the mystifying acoustics of the Whispering Gallery in front of the Oyster Bar and Restaurant. Audio and guided tours are available for those with a passion for history. More information regarding tours and ways to plan your visit can be found on the Grand Central Terminal website.","89 E 42nd Street, New York City, NY 10017-5503","Grand Central • 1 min walk,Grand Central • 1 min walk","The Capital Grille,99 Cent Fresh Pizza,Momosan Ramen & Sake","SUMMIT One Vanderbilt,Grand Central Market,Chrysler Building",28890,13427,2148,149,49,5,2
20,20, Grand Canyon South Rim,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/45/79/32/grand-canyon.jpg?w=500&h=400&s=1,5.0,"23,416",https://www.tripadvisor.ca/Attraction_Review-g143028-d109440-Reviews-Grand_Canyon_South_Rim-Grand_Canyon_National_Park_Arizona.html,United States,Arizona (AZ),Grand Canyon National Park,,"The most developed area of Grand Canyon National Park, the South Rim offers amenities such as bus service, hotels and water stations, but is also more crowded than the North Rim. Scenic highlights include Pipe Creek Vista and Yavapai Point.","Highway 64, Grand Canyon National Park, AZ 86023",,"El Tovar Lodge Dining Room,Grand Canyon Village Market & Deli,Yavapai Tavern","Grand Canyon Village,Grand Canyon National Park,Bright Angel Trail",20824,2021,393,94,86,-1,-1
21,21, Biltmore,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/03/c7/09/the-biltmore-estate-in.jpg?w=500&h=400&s=1,4.5,"27,502",https://www.tripadvisor.ca/Attraction_Review-g60742-d102846-Reviews-Biltmore-Asheville_North_Carolina.html,United States,North Carolina (NC),North Carolina Mountains,,"This historic country estate in Asheville spans 8,000 acres and is centered on America's largest private home, the Biltmore House. Besides touring the lavish Châteauesque-style mansion and admiring its architecture and beautifully landscaped gardens, you can also book a stay at the estate's hotel, inn or cottages. Start the morning with a massage at the estate’s spa, go shopping at Antler Hill Village, tackle a hiking trail, and wind down with a meal and a glass of red at the restaurant and winery.

If you’re visiting during the holiday season, the Candlelight Christmas tour is one of Biltmore’s must-dos. – Tripadvisor","1 Lodge Street, Asheville, NC 28803-2662",,"Stable Cafe,Biltmore Estate Ice Cream Parlor,Juicy Lucy's Burger Bar & Grill","Asheville Gem Mine,Asheville Community Theatre,Biltmore Winery",20778,4553,1358,474,343,-1,-1
22,22, Chihuly Garden and Glass,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/87/52/77/this-is-such-a-cool-spot.jpg?w=500&h=400&s=1,5.0,"24,854",https://www.tripadvisor.ca/Attraction_Review-g60878-d3184389-Reviews-Chihuly_Garden_and_Glass-Seattle_Washington.html,United States,Washington (WA),Seattle,9:00 AM - 8:00 PM,"This must-see museum exhibits creative and colorful blown glass sculptures of renowned artist Dale Chihuly. Eight indoor galleries and lush landscaped gardens feature a mix of new and past significant works. They are awe-inspiring whether you visit during the day, or in the evening when the sculptures are lit up. The highlight here is a 100-foot-long glass sculpture suspended in a glass conservatory—one of his largest ever.

Located at the base of the iconic Space Needle, you might want to buy a combined ticket for cost savings or get a Seattle City Pass. 

– Tripadvisor","305 Harrison Street, Seattle, WA 98109-4623",Seattle Center • 3 min walk,"Tilikum Place Cafe,Zeeks Pizza,Taylor Shellfish Oyster Bar","Seattle Center,Space Needle,Pacific Science Center",20538,3401,698,143,79,9,20
23,23, Brooklyn Bridge,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/90/3d/6f/photo0jpg.jpg?w=500&h=-1&s=1,4.5,"25,845",https://www.tripadvisor.ca/Attraction_Review-g60763-d102741-Reviews-Brooklyn_Bridge-New_York_City_New_York.html,United States,New York (NY),New York City,12:00 AM - 11:59 PM,"Opened in 1883, the Brooklyn Bridge provides passage between Brooklyn and Manhattan for motorists, trains, bicycles and pedestrians. One of the primary symbols of New York City, it is a marvel of design and provides spectacular views of the city's skyline.",See all,,"The River Cafe,Luke's Lobster Brooklyn Bridge Park,The Paris Cafe","East River Ferry,Brooklyn Bridge Park,Dumbo",18673,6048,959,135,37,0,23
24,24, Red Rock Canyon National Conservation Area,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/be/50/c8/photo1jpg.jpg?w=500&h=-1&s=1,4.5,"26,386",https://www.tripadvisor.ca/Attraction_Review-g45963-d103329-Reviews-Red_Rock_Canyon_National_Conservation_Area-Las_Vegas_Nevada.html,United States,Nevada (NV),Las Vegas,6:00 AM - 7:00 PM,Visitors can admire colorful rock formations on several hiking trails or on a 13-mile scenic drive.,"1000 Scenic Loop Dr, Las Vegas, NV 89161",,"Calico Hills,Sloan Canyon National Conservation Area,Red Rock Canyon Hiking And Yoga",,20381,4976,858,112,59,6,19
25,25, Diamond Head State Monument,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/8f/34/photo1jpg.jpg?w=500&h=400&s=1,4.5,"24,220",https://www.tripadvisor.ca/Attraction_Review-g60982-d107673-Reviews-Diamond_Head_State_Monument-Honolulu_Oahu_Hawaii.html,United States,Hawaii (HI),Oahu,6:00 AM - 4:30 PM,"This dormant volcano crater is one of Honolulu’s major natural landmarks, known for its history, amazing hikes, and stunning coastal views. The way to the summit is an easy-to-moderate hike up—though there's a steep flight of steps—and you'll be treated to some of the best views on the island. There are also many lookouts surrounding the crater. If you have limited mobility, don't worry, multiple other hikes within the park are accessibility friendly.

It can get busy (and hot!) so try to reach early in the morning and bring sunscreen and plenty of water. Online reservations are required for non-residents but are often included in guided tours of Diamond Head. – Tripadvisor","18th Ave. Waikiki, Honolulu, Oahu, HI 96815",,"Diamond Head Market & Grill,Banan,South Shore Grill","Diamond Head Visitor Center,Shangri La,Saturday Farmer's Market KCC",15735,6900,1336,175,77,6,16
26,26, USS Arizona Memorial,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/53/3d/12/20170519-080256-largejpg.jpg?w=500&h=-1&s=1,4.5,"27,118",https://www.tripadvisor.ca/Attraction_Review-g60982-d104386-Reviews-USS_Arizona_Memorial-Honolulu_Oahu_Hawaii.html,United States,Hawaii (HI),Oahu,7:00 AM - 5:00 PM,"The most visited spot in Hawaii, this majestic floating memorial honors those who died during the WWII Pearl Harbor attack.","1 Arizona Memorial Place, Honolulu, Oahu, HI 96818",,"Baskin-Robbins,Restaurant 604,Laniakea Cafe at Pearl Harbor Aviation Museum","Battleship Missouri Memorial,Pearl Harbor National Memorial,USS Oklahoma Memorial",20926,4497,1249,268,183,7,17
27,27, Millennium Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/b4/91/a3/the-bean.jpg?w=500&h=400&s=1,4.5,"25,072",https://www.tripadvisor.ca/Attraction_Review-g35805-d278811-Reviews-Millennium_Park-Chicago_Illinois.html,United States,Illinois (IL),Chicago,6:00 AM - 11:00 PM,"Three square blocks of open lakefront complete with a Ferris Wheel, outdoor music pavillion and ice skating rink; expected to become one of the city's most popular sites.","201 East Randolph Street, Chicago, IL 60601-6530","Randolph/Wabash • 5 min walk,Adams/Wabash • 6 min walk","Wildberry Pancakes and Cafe,Cherry Circle Room,Acanto","Chicago Blues Festival,Cloud Gate,Crown Fountain",17773,6303,879,80,45,6,23
28,28, Garden of the Gods,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/5e/ef/7c/garden-of-the-gods.jpg?w=500&h=400&s=1,5.0,"17,775",https://www.tripadvisor.ca/Attraction_Review-g33364-d104029-Reviews-Garden_of_the_Gods-Colorado_Springs_El_Paso_County_Colorado.html,United States,Colorado (CO),El Paso County,9:00 AM - 5:00 PM,"Jam-packed with dramatic rock formations, the Garden of the Gods is a prime spot for hiking amid beautiful scenery. Stop for a photo by the Steamboat Rock, then set out to trek the 21 miles of trails within the park. The 1.5-mile-long Perkins Central Garden Trail is wheelchair accessible and runs between all the major sights like the Kissing Camels. On your way back, grab a snack and shop for souvenirs at the gift shop. 

Located on the outskirts of Colorado Springs, the Garden of the Gods can be visited for free—parking included. 

– Tripadvisor","1805 N. 30th St., Colorado Springs, CO 80904-1247",,"Cafe at the Garden,Drifters,The Rocks Bar and Lounge","Strata Integrated Wellness Spa at Garden of the Gods Resort and Club,Red Rock Canyon,Rock Ledge Ranch Historic Site",14496,2717,477,64,26,9,17
